Evaluation,Model,Parameter,Accuracy
1,Mean,,0.37037037037037035
1,ANN,"neuron1=60, learning_rate=decrease, layers=6, neuron2=100",0.5185185185185185
1,ANN,"neuron1=60, learning_rate=clr, layers=6, neuron2=100",0.3333333333333333
1,ANN,"neuron1=60, learning_rate=decrease, neuron2=100, layers=8",0.4074074074074074
1,ANN,"neuron1=60, learning_rate=clr, neuron2=100, layers=8",0.4074074074074074
1,ANN,"neuron1=60, learning_rate=decrease, neuron2=150, layers=6",0.37037037037037035
1,ANN,"neuron1=60, learning_rate=clr, neuron2=150, layers=6",0.37037037037037035
1,ANN,"neuron1=60, learning_rate=decrease, neuron2=150, layers=8",0.3333333333333333
1,ANN,"neuron1=60, learning_rate=clr, neuron2=150, layers=8",0.4074074074074074
1,ANN,"neuron1=60, learning_rate=decrease, neuron2=300, layers=6",0.4074074074074074
1,ANN,"neuron1=60, neuron2=300, learning_rate=clr, layers=6",0.4444444444444444
1,ANN,"neuron1=60, learning_rate=decrease, neuron2=300, layers=8",0.4444444444444444
1,ANN,"neuron1=60, neuron2=300, learning_rate=clr, layers=8",0.37037037037037035
1,ANN,"neuron1=128, layers=6, neuron2=100, learning_rate=decrease",0.37037037037037035
1,ANN,"neuron1=128, learning_rate=clr, layers=6, neuron2=100",0.37037037037037035
1,ANN,"neuron1=128, learning_rate=decrease, neuron2=100, layers=8",0.5555555555555556
1,ANN,"neuron1=128, learning_rate=clr, neuron2=100, layers=8",0.37037037037037035
1,ANN,"layers=6, neuron1=128, neuron2=150, learning_rate=decrease",0.3333333333333333
1,ANN,"layers=6, neuron1=128, learning_rate=clr, neuron2=150",0.4444444444444444
1,ANN,"neuron1=128, learning_rate=decrease, neuron2=150, layers=8",0.4444444444444444
1,ANN,"neuron1=128, learning_rate=clr, neuron2=150, layers=8",0.4444444444444444
1,ANN,"neuron1=128, neuron2=300, layers=6, learning_rate=decrease",0.3333333333333333
1,ANN,"neuron1=128, neuron2=300, learning_rate=clr, layers=6",0.4074074074074074
1,ANN,"neuron1=128, neuron2=300, learning_rate=decrease, layers=8",0.4444444444444444
1,ANN,"neuron1=128, neuron2=300, learning_rate=clr, layers=8",0.4074074074074074
1,CNN,"batch_size=32, number_of_layers=50, base_learning_rate=0.001",0.2962962962962963
